frame,time_seconds,track_id,class_id,confidence,x1,y1,x2,y2,center_x,center_y,bbox_width,bbox_height
0,0.0,1,0,0.8716586828231812,1034,150,1108,352,1071,251,73,201
0,0.0,2,0,0.8547393083572388,353,0,742,553,547,276,388,552
0,0.0,3,0,0.8357071876525879,970,223,1011,333,991,278,41,110
0,0.0,4,0,0.7956758141517639,1123,226,1164,331,1143,279,41,104
0,0.0,5,0,0.7894230484962463,889,224,921,332,905,278,32,108
0,0.0,6,0,0.5927327275276184,385,233,412,325,398,279,27,92
1,0.04,1,0,0.8641646504402161,1034,151,1107,352,1071,251,73,201
1,0.04,2,0,0.8548344969749451,354,0,742,552,548,276,387,552
1,0.04,3,0,0.835122287273407,970,223,1011,333,991,278,41,110
1,0.04,4,0,0.7983464002609253,1122,226,1163,330,1142,278,41,104
1,0.04,5,0,0.7918763756752014,889,224,921,332,905,278,32,107
1,0.04,6,0,0.6096093654632568,385,233,412,325,398,279,27,91
2,0.08,1,0,0.8640471696853638,1033,150,1107,353,1070,252,74,202
2,0.08,2,0,0.890521764755249,355,0,743,553,549,276,388,553
2,0.08,3,0,0.8270612955093384,970,223,1011,333,990,278,41,110
2,0.08,4,0,0.805972695350647,1119,225,1160,329,1140,277,41,103
2,0.08,5,0,0.7847426533699036,888,224,920,332,904,278,32,107
2,0.08,6,0,0.6480332612991333,384,233,412,325,398,279,27,91
3,0.12,1,0,0.8685194253921509,1033,150,1107,353,1070,252,74,203
3,0.12,2,0,0.8908312916755676,355,0,744,554,550,277,389,554
3,0.12,3,0,0.8252764940261841,970,223,1011,333,991,278,41,110
3,0.12,4,0,0.8060963153839111,1118,226,1159,329,1139,277,41,103
3,0.12,5,0,0.7794185876846313,888,224,920,332,904,278,32,107
3,0.12,6,0,0.6507787108421326,384,233,411,324,397,279,27,91
4,0.16,1,0,0.8687386512756348,1033,149,1107,353,1070,251,74,204
4,0.16,2,0,0.8818160891532898,357,0,746,554,551,277,389,554
4,0.16,3,0,0.8035308122634888,971,223,1012,333,991,278,41,110
4,0.16,4,0,0.8271313905715942,1119,225,1160,328,1139,277,41,102
4,0.16,5,0,0.7698257565498352,888,223,920,331,904,277,32,107
4,0.16,6,0,0.6476753950119019,383,235,410,324,397,279,26,88
5,0.2,1,0,0.873127281665802,1033,148,1108,354,1070,251,75,205
5,0.2,2,0,0.8884646892547607,358,0,748,554,553,277,389,554
5,0.2,3,0,0.7961981296539307,972,223,1013,332,992,277,41,109
5,0.2,4,0,0.8365148901939392,1119,226,1160,328,1139,277,41,102
5,0.2,5,0,0.7745393514633179,888,223,920,331,904,277,31,107
5,0.2,6,0,0.6468597054481506,383,235,410,324,396,280,26,88
6,0.24,1,0,0.8783689737319946,1032,148,1108,353,1070,250,75,205
6,0.24,2,0,0.8837338089942932,361,1,751,556,556,278,390,555
6,0.24,3,0,0.7839409708976746,973,223,1013,332,993,278,40,109
6,0.24,4,0,0.8210025429725647,1117,225,1159,327,1138,276,41,102
6,0.24,5,0,0.7721589207649231,888,223,920,331,904,277,31,107
6,0.24,6,0,0.6455370187759399,382,235,409,323,395,279,26,88
7,0.28,1,0,0.8780280351638794,1032,148,1107,353,1070,250,75,205
7,0.28,2,0,0.8970638513565063,363,1,754,557,559,279,390,555
7,0.28,3,0,0.7842845320701599,973,223,1013,332,993,278,40,109
7,0.28,4,0,0.8051273226737976,1117,225,1158,327,1137,276,41,102
7,0.28,5,0,0.7721236944198608,889,223,920,331,904,277,31,107
7,0.28,6,0,0.6330438256263733,381,234,408,323,395,279,27,89
8,0.32,1,0,0.8827324509620667,1032,148,1108,353,1070,251,75,205
8,0.32,2,0,0.8322840929031372,365,2,758,559,562,281,393,557
8,0.32,3,0,0.7753552794456482,974,223,1014,333,994,278,39,109
8,0.32,4,0,0.7914747595787048,1116,227,1158,327,1137,277,41,100
8,0.32,5,0,0.7752164006233215,889,224,921,331,905,277,31,107
8,0.32,6,0,0.5007928609848022,381,235,408,323,394,279,27,88
9,0.36,1,0,0.8796990513801575,1032,148,1108,353,1070,251,75,205
9,0.36,2,0,0.641585648059845,367,2,762,558,565,280,394,556
9,0.36,3,0,0.7502446174621582,975,224,1014,333,994,278,38,109
9,0.36,4,0,0.8013098835945129,1116,227,1157,327,1136,277,41,100
9,0.36,5,0,0.773274302482605,889,224,921,331,905,278,31,107
9,0.36,6,0,0.5273134112358093,380,236,407,323,394,280,26,87
9,0.36,7,0,0.7686551213264465,331,3,596,558,463,280,265,555
